Species	BigJulian	Julian	Date	Lake	CountedBy	Total	UA	UJ	UninfectedMales	UninfectedEphip	APasteuria	JPasteuria	MalePasteuria	EphipPastueria	Brood	ACaullerya	JCaullerya	MaleCaullerya	EphipCaullerya	AWBD	JWBD	MaleWBD	AScarlet	JScarlet	MaleScarlet	EphipScarlet	AMetsch	JMetsch	MaleMetsch	EphipMetsch	ALarssonia	JLarssonia	ASpider	JSpider	MaleSpider	JPastMetsch	ACaullPasteuria	JCaullPasteuria	ACaullBrood	UnknownMicrosporidian	AMilkyGut	AGut	BroodEphip	MetschEphip	SpiderEphip	Hyphal.brood	Unknown	Unknown.oval.parasite..probably.microsporidian.	ACaullLarss	WBDJ	EphipScar	AUnknownGut	JUnknownGut	MaleUnknownGut	AScar	ACaull	JCaull	AMetschCaull	X	EphipWBD	BroodWBD	Ovary	EphipCaull	Brood.1	Spider	AGurleya	Hyphalbrood	AMetschLarssonia	AUnknownMicrosporidian	AUnknown	Gurleya	ASpiderPast	APastBrood	APastMetsch	ACaulPast	BroodLarssonia	APastCaullerya	betterDates	pasttot	proppast	metschtot	propmetsch	broodtot	propbrood	caulltot	propcaull	scartot	propscar	larsstot	proplarss	spidertot	propspider	gurleyatot	propgurleya
dentifera	15202	202	7/21/2015	Appleton	CDG	189	70	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/21/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15203	203	7/22/2015	Gosling	CLS	234	98	128	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/22/2020	0	0	0	0	4	0.017094017	0	0	0	0	4	0.017094017	0	0	0	0
dentifera	15203	203	7/22/2015	Sullivan	CDG	211	80	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/22/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15203	203	7/22/2015	Pickerel	KKH	200	70	123	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/22/2020	2	0.01	0	0	3	0.015	0	0	2	0.01	0	0	0	0	0	0
dentifera	15205	205	7/24/2015	Whitmore	MAD	9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/24/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15205	205	7/24/2015	Woodland	KKH	23	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/24/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15208	208	7/27/2015	Walsh	CLS	569	285	274	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/27/2020	4	0.007029877	4	0.007029877	0	0	0	0	2	0.003514938	0	0	0	0	0	0
dentifera	15208	208	7/27/2015	Mill	CDG	124	50	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/27/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15209	209	7/28/2015	North	KKH	395	140	232	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/28/2020	0	0	0	0	21	0.053164557	0	0	1	0.002531646	1	0.002531646	0	0	0	0
dentifera	15209	209	7/28/2015	Bruin	CDG	96	39	52	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/28/2020	0	0	0	0	3	0.03125	0	0	2	0.020833333	0	0	0	0	0	0
dentifera	15209	209	7/28/2015	CrookedP	CLS	246	131	114	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/28/2020	0	0	0	0	1	0.004065041	0	0	0	0	0	0	0	0	0	0
dentifera	15211	211	7/30/2015	Cedar	KKH	274	141	120	0	0	0	1	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/30/2020	1	0.003649635	0	0	8	0.02919708	0	0	1	0.003649635	3	0.010948905	0	0	0	0
dentifera	15211	211	7/30/2015	CrookedW	CLS	207	92	111	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/30/2020	1	0.004830918	0	0	0	0	2	0.009661836	0	0	1	0.004830918	0	0	0	0
