Lake,Counted by,Rep,Julian,Date sampled,DentA,DentJ,DentM,DentE,DentTot,PulA,PulJ,PulM,PulE,PulTot,RetroA,RetroJ,RetroM,RetroE,RetroTot,CerioA,CerioJ,CerioE,CerioTot,DubiaA,DubiaJ,DubiaM,DubiaE,DubiaTot,ParvA,ParvJ,ParvM,ParvE,ParvTot,AmbA,AmbJ,AmbTot,MendA,MendJ,MendM,MendE,MendTot
Gosling,CDG,1,232,8/20/2015,158671.2892,220591.7923,0,0,379263.0815,0,0,0,0,0,0,0,0,0,0,390873.1758,375393.0501,0,766266.2259,0,0,0,0,0,48375.39305,67725.55027,0,0,116100.9433,0,0,0,0,0,0,0,0
Gosling,CDG,1,244,9/1/2015,143191.1634,96750.7861,0,0,239941.9495,0,0,0,0,0,0,2580.020963,0,0,2580.020963,309602.5155,282512.2954,0,592114.8109,0,0,0,0,0,51600.41925,54180.44022,0,0,105780.8595,2580.020963,0,2580.020963,0,0,0,0,0
Gosling,CDG,1,259,9/16/2015,54180.44022,100620.8175,0,0,154801.2578,0,0,0,0,0,0,0,0,0,0,468273.8047,534064.3393,0,1002338.144,0,0,0,0,0,5160.041925,23220.18866,0,0,28380.23059,0,0,0,0,0,0,0,0
Gosling,CDG,1,271,9/28/2015,100620.8175,208981.698,0,0,309602.5155,0,0,0,0,0,0,0,0,0,0,255422.0753,476013.8676,7740.062888,739176.0058,0,0,0,0,0,7740.062888,21672.17609,0,0,29412.23897,1548.012578,7740.062888,9288.075466,0,0,0,0,0
Gosling,CDG,1,287,10/14/2015,42570.34588,61920.5031,7740.062888,0,112230.9119,0,0,0,0,0,0,0,0,0,0,108360.8804,677255.5027,139321.132,924937.5151,0,0,0,0,0,15480.12578,30960.25155,0,0,46440.37733,2580.020963,2580.020963,5160.041925,0,0,0,0,0
Gosling,CDG,1,299,10/26/2015,15480.12578,34830.283,15480.12578,11610.09433,77400.62888,0,0,0,0,0,0,0,0,0,0,27090.22011,154801.2578,135451.1005,317342.5784,0,0,0,0,0,1935.015722,5805.047166,0,0,7740.062888,10320.08385,2580.020963,12900.10481,0,0,0,0,0
Gosling,CDG,1,313,11/9/2015,0,2580.020963,25800.20963,18060.14674,46440.37733,0,0,0,0,0,0,0,0,0,0,0,36120.29348,38700.31444,74820.60792,0,0,0,0,0,11610.09433,38700.31444,0,0,50310.40877,38700.31444,0,38700.31444,0,0,0,0,0
LilAp,CLS,1,229,8/17/2015,673385.4713,750786.1001,0,0,1424171.571,7740.062888,3870.031444,0,0,11610.09433,0,0,0,0,0,30960.25155,7740.062888,0,38700.31444,0,3870.031444,0,0,3870.031444,23220.18866,7740.062888,0,0,30960.25155,0,0,0,0,0,0,0,0
North,CLS,1,223,8/11/2015,359912.9243,267032.1696,0,0,626945.0939,3870.031444,0,0,0,3870.031444,216721.7609,259292.1067,0,0,476013.8676,0,0,0,0,0,0,0,0,0,3870.031444,11610.09433,0,0,15480.12578,3870.031444,3870.031444,7740.062888,0,0,0,0,0
North,CDG,1,237,8/25/2015,33540.27251,103200.8385,0,0,136741.111,10320.08385,7740.062888,0,0,18060.14674,23220.18866,172861.4045,0,0,196081.5932,58050.47166,56115.45594,0,114165.9276,3870.031444,3870.031444,0,0,7740.062888,27864.2264,12384.10062,0,0,40248.32702,3870.031444,0,3870.031444,0,0,0,0,0
LilAp,CLS,1,215,8/3/2015,847536.8862,1230669.999,0,0,2078206.885,0,0,0,0,0,0,0,0,0,0,69660.56599,58050.47166,0,127711.0377,0,0,0,0,0,0,7740.062888,0,0,7740.062888,0,0,0,0,0,0,0,0
LilAp,CLS,1,315,11/11/2015,49020.39829,25800.20963,23220.18866,30960.25155,129001.0481,0,0,0,0,0,2580.020963,2580.020963,0,0,5160.041925,15480.12578,2580.020963,0,18060.14674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LilAp,CLS,1,257,9/14/2015,342497.7828,768201.2416,0,0,1110699.024,0,0,0,0,0,0,5805.047166,0,0,5805.047166,162541.3206,89010.72321,0,251552.0439,0,1935.015722,0,0,1935.015722,5805.047166,3870.031444,0,0,9675.07861,0,0,0,0,0,0,0,0
Sullivan,CDG,1,203,7/22/2015,92880.75466,159961.2997,0,0,252842.0543,12900.10481,41280.3354,0,0,54180.44022,0,0,0,0,0,0,2580.020963,0,2580.020963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan,CDG,1,216,8/4/2015,178021.4464,348302.83,0,0,526324.2764,23220.18866,69660.56599,0,0,92880.75466,0,0,0,0,0,7740.062888,25800.20963,0,33540.27251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill,CLS,1,251,9/8/2015,46440.37733,54180.44022,0,0,100620.8175,0,0,0,0,0,166411.3521,286382.3269,0,0,452793.6789,0,3870.031444,0,3870.031444,0,0,0,0,0,0,3870.031444,0,0,3870.031444,0,0,0,0,0,0,0,0
LilAp,CLS,1,301,10/28/2015,299282.4317,232201.8866,319922.5994,59340.48214,910747.3998,0,0,0,0,0,0,0,0,0,0,36120.29348,7740.062888,0,43860.35637,0,0,0,0,0,0,2580.020963,0,0,2580.020963,0,0,0,0,0,0,0,0
LilAp,CLS,1,243,8/31/2015,356042.8928,1133919.213,0,0,1489962.106,0,0,0,0,0,0,3870.031444,0,0,3870.031444,30960.25155,34830.283,0,65790.53455,0,0,0,0,0,3870.031444,0,0,0,3870.031444,0,0,0,0,0,0,0,0
Walsh,CDG,1,219,8/7/2015,77400.62888,126421.0272,0,0,203821.6561,0,0,0,0,0,0,1935.015722,0,0,1935.015722,3870.031444,3870.031444,0,7740.062888,0,0,0,0,0,10320.08385,10320.08385,0,0,20640.1677,0,0,0,0,0,0,0,0
